"500061272333|10{20{30{40{50{60{70{80{90{100{110{120{130|IR - GERADOR DE ENERGIA{V.NIVEL OLEO LUBRIFICANTE{V.NIVEL DE LIQUIDO REFRIGERANTE{V.NIVEL DO TANQUE DE COMBUS{V.DANOS NO MOTOR{V.DANOS NAS MANGUEIRAS{V.ABACADEIRAS FROUXAS{V.CORREIA SOLTA OU DESFIADA{V.RUÍDOS DO MOTOR{V.BOIA DE COMBUSTIVEL{V.CONEXÕES DA BATERIA{V.INDICADOR DE FILTRO DE AR{LIMPAR FILTRO DE AR(CASO PRECISE)|GEE16010001|GERADOR DE ENERGIA ELÉTRICA|GERADOR DE ENERGIA ELÉTRICA|1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|04/12/2022|PMSEL03|EL}"
"500061633150|10{20{30{40{50{60{70|IR-EL - INSPEÇÃO DE TOMADAS{EL_VERIFICAR TOMADAS DO PÁTIO{EL_V INTEGRIDADE DO PAINEL{EL_VERIFICAR FUNCIONAMENTO DAS TOMADAS{EL_VERIFICAR TRAVAMENTO DO PAINEL{EL_VERIFICAR FIXAÇÃO DAS TOMADAS{EL_VERIFICAR DISJUNTORES DO PAINEL|QEF16010017|QUADRO ELÉTRICO - TOMADAS PÁTIO|QUADROS ELÉTRICOS DE FORÇA (TOMADAS)|0,5{{{{{{|01/12/2022|PMSEL03|EL}"
"500061646804|10{20{30{40{50{60{70|IR-EL - INSPEÇÃO DE TOMADAS{EL_VERIFICAR TOMADAS DO PÁTIO{EL_V INTEGRIDADE DO PAINEL{EL_VERIFICAR FUNCIONAMENTO DAS TOMADAS{EL_VERIFICAR TRAVAMENTO DO PAINEL{EL_VERIFICAR FIXAÇÃO DAS TOMADAS{EL_VERIFICAR DISJUNTORES DO PAINEL|QEF16010017|QUADRO ELÉTRICO - TOMADAS PÁTIO|QUADROS ELÉTRICOS DE FORÇA (TOMADAS)|0,5{{{{{{|02/12/2022|PMSEL03|EL}"
"500061672413|10{20{30{40{50{60{70|IR-EL - INSPEÇÃO DE TOMADAS{EL_VERIFICAR TOMADAS DO PÁTIO{EL_V INTEGRIDADE DO PAINEL{EL_VERIFICAR FUNCIONAMENTO DAS TOMADAS{EL_VERIFICAR TRAVAMENTO DO PAINEL{EL_VERIFICAR FIXAÇÃO DAS TOMADAS{EL_VERIFICAR DISJUNTORES DO PAINEL|QEF16010017|QUADRO ELÉTRICO - TOMADAS PÁTIO|QUADROS ELÉTRICOS DE FORÇA (TOMADAS)|0,5{{{{{{|03/12/2022|PMSEL03|EL}"
"500061704249|10{20{30{40{50{60{70|IR-EL - INSPEÇÃO DE TOMADAS{EL_VERIFICAR TOMADAS DO PÁTIO{EL_V INTEGRIDADE DO PAINEL{EL_VERIFICAR FUNCIONAMENTO DAS TOMADAS{EL_VERIFICAR TRAVAMENTO DO PAINEL{EL_VERIFICAR FIXAÇÃO DAS TOMADAS{EL_VERIFICAR DISJUNTORES DO PAINEL|QEF16010017|QUADRO ELÉTRICO - TOMADAS PÁTIO|QUADROS ELÉTRICOS DE FORÇA (TOMADAS)|0,5{{{{{{|04/12/2022|PMSEL03|EL}"
"500061732181|10{20{30{40{50{60{70|IR-EL - INSPEÇÃO DE TOMADAS{EL_VERIFICAR TOMADAS DO PÁTIO{EL_V INTEGRIDADE DO PAINEL{EL_VERIFICAR FUNCIONAMENTO DAS TOMADAS{EL_VERIFICAR TRAVAMENTO DO PAINEL{EL_VERIFICAR FIXAÇÃO DAS TOMADAS{EL_VERIFICAR DISJUNTORES DO PAINEL|QEF16010017|QUADRO ELÉTRICO - TOMADAS PÁTIO|QUADROS ELÉTRICOS DE FORÇA (TOMADAS)|0,5{{{{{{|05/12/2022|PMSEL03|EL}"
"500061745830|10{20{30{40{50{60{70|IR-EL - INSPEÇÃO DE TOMADAS{EL_VERIFICAR TOMADAS DO PÁTIO{EL_V INTEGRIDADE DO PAINEL{EL_VERIFICAR FUNCIONAMENTO DAS TOMADAS{EL_VERIFICAR TRAVAMENTO DO PAINEL{EL_VERIFICAR FIXAÇÃO DAS TOMADAS{EL_VERIFICAR DISJUNTORES DO PAINEL|QEF16010017|QUADRO ELÉTRICO - TOMADAS PÁTIO|QUADROS ELÉTRICOS DE FORÇA (TOMADAS)|0,5{{{{{{|06/12/2022|PMSEL03|EL}"
"500061758738|10{20{30{40{50{60{70|IR-EL - INSPEÇÃO DE TOMADAS{EL_VERIFICAR TOMADAS DO PÁTIO{EL_V INTEGRIDADE DO PAINEL{EL_VERIFICAR FUNCIONAMENTO DAS TOMADAS{EL_VERIFICAR TRAVAMENTO DO PAINEL{EL_VERIFICAR FIXAÇÃO DAS TOMADAS{EL_VERIFICAR DISJUNTORES DO PAINEL|QEF16010017|QUADRO ELÉTRICO - TOMADAS PÁTIO|QUADROS ELÉTRICOS DE FORÇA (TOMADAS)|0,5{{{{{{|07/12/2022|PMSEL03|EL}"
"500061769296|10{20{30{40{50{60{70|IR-EL - INSPEÇÃO DE TOMADAS{EL_VERIFICAR TOMADAS DO PÁTIO{EL_V INTEGRIDADE DO PAINEL{EL_VERIFICAR FUNCIONAMENTO DAS TOMADAS{EL_VERIFICAR TRAVAMENTO DO PAINEL{EL_VERIFICAR FIXAÇÃO DAS TOMADAS{EL_VERIFICAR DISJUNTORES DO PAINEL|QEF16010017|QUADRO ELÉTRICO - TOMADAS PÁTIO|QUADROS ELÉTRICOS DE FORÇA (TOMADAS)|0,5{{{{{{|08/12/2022|PMSEL03|EL}"
"500061781412|10{20{30{40{50{60{70|IR-EL - INSPEÇÃO DE TOMADAS{EL_VERIFICAR TOMADAS DO PÁTIO{EL_V INTEGRIDADE DO PAINEL{EL_VERIFICAR FUNCIONAMENTO DAS TOMADAS{EL_VERIFICAR TRAVAMENTO DO PAINEL{EL_VERIFICAR FIXAÇÃO DAS TOMADAS{EL_VERIFICAR DISJUNTORES DO PAINEL|QEF16010017|QUADRO ELÉTRICO - TOMADAS PÁTIO|QUADROS ELÉTRICOS DE FORÇA (TOMADAS)|0,5{{{{{{|09/12/2022|PMSEL03|EL}"
"500061796232|10{20{30{40{50{60{70|IR-EL - INSPEÇÃO DE TOMADAS{EL_VERIFICAR TOMADAS DO PÁTIO{EL_V INTEGRIDADE DO PAINEL{EL_VERIFICAR FUNCIONAMENTO DAS TOMADAS{EL_VERIFICAR TRAVAMENTO DO PAINEL{EL_VERIFICAR FIXAÇÃO DAS TOMADAS{EL_VERIFICAR DISJUNTORES DO PAINEL|QEF16010017|QUADRO ELÉTRICO - TOMADAS PÁTIO|QUADROS ELÉTRICOS DE FORÇA (TOMADAS)|0,5{{{{{{|10/12/2022|PMSEL03|EL}"
